case_num,GPU_NO,runtime
01,0,2316.2775500000002
02,0,2320.884525
02,1,2274.62075
03,0,2325.90505
03,1,2276.1492749999998
03,2,2264.157425
04,0,2324.2206
04,1,2275.0511500000002
04,2,2264.4855
04,3,2317.5748
10,0,2318.8034500000003
10,1,2272.4478999999997
10,2,2261.77735
11,0,NaN
11,1,2271.26065
11,2,2262.9521000000004
11,3,2315.3233999999998
12,0,2311.81535
12,2,2261.19595
13,0,2313.68145
13,1,2269.0491
14,0,2312.0378
15,0,NaN
15,1,2272.79665
16,0,NaN
16,2,2266.1233500000003
17,0,NaN
17,3,2315.46655
18,0,2318.4878999999996
19,0,2321.7379
20,0,2310.5229999999997
21,0,2321.8027
21,1,2274.58495
22,0,2324.32375
22,1,2274.9928
22,2,2261.63235
23,0,NaN
23,2,2306.4540500000003
24,0,2325.6169999999997
24,1,2276.5062000000003
24,2,2261.89355
25,0,NaN
25,1,2273.9551500000002
25,2,2264.2964
25,3,2323.1880499999997
26,0,2323.0286499999997
26,2,2263.26655
27,0,2324.8308
27,1,2278.53695
28,1,2284.10145
29,2,2276.1457
31,2,2272.4087
32,2,2301.1792
