case1,0,2316.2775500000002
case2,0,2320.884525
case2,1,2274.62075
case3,0,2325.90505
case3,1,2276.1492749999998
case3,2,2264.157425
case4,0,2324.2206
case4,1,2275.0511500000002
case4,2,2264.4855
case4,3,2317.5748
case10,0,2318.8034500000003
case10,1,2272.4478999999997
case10,2,2261.77735
case11,1,2271.26065
case11,2,2262.9521000000004
case11,3,2315.3233999999998
case12,0,2311.81535
case12,2,2261.19595
case13,0,2313.68145
case13,1,2269.0491
case14,0,2312.0378
case15,1,2272.79665
case16,2,2266.1233500000003
case17,3,2315.46655
case18,0,2318.4878999999996
case19,0,2321.7379
case20,0,2310.5229999999997
case21,0,2321.8027
case21,1,2274.58495
case22,0,2324.32375
case22,1,2274.9928
case22,2,2261.63235
case23,2,2306.4540500000003
case24,0,2325.6169999999997
case24,1,2276.5062000000003
case24,2,2261.89355
case25,1,2273.9551500000002
case25,2,2264.2964
case25,3,2323.1880499999997
case26,0,2323.0286499999997
case26,2,2263.26655
case27,0,2324.8308
case27,1,2278.53695
case28,1,2284.10145
case29,2,2276.1457
case31,2,2272.4087
case32,2,2301.1792
